year,state_district,party,party_incumbent,candidate_incumbent,candidate_incumbent_vote
2010,Alabama1,republican,republican,1,0.9827072263921219
2010,Alabama2,republican,democrat,0,0
2010,Alabama3,republican,republican,1,0.5403150083295472
2010,Alabama4,republican,republican,1,0.7475899333883048
2010,Alabama5,republican,democrat,0,0
2010,Alabama6,republican,republican,1,0.9779450418991982
2010,Alabama7,democrat,democrat,0,0
2010,Alaska0,republican,republican,1,0.5014196568847049
2010,Arizona1,republican,democrat,0,0
2010,Arizona2,republican,republican,1,0.5943796723891569
2010,Arizona3,republican,republican,0,0
2010,Arizona4,democrat,democrat,1,0.7210734004677442
2010,Arizona5,republican,democrat,0,0
2010,Arizona6,republican,republican,1,0.6241681030355262
2010,Arizona7,democrat,democrat,0,0
2010,Arizona8,democrat,democrat,1,0.5472056198326967
2010,Arkansas1,republican,democrat,0,0
2010,Arkansas2,republican,democrat,0,0
2010,Arkansas3,republican,republican,0,0
2010,Arkansas4,democrat,democrat,1,0.8617233788982148
2010,California1,democrat,democrat,1,0.6810019554380456
2010,California10,democrat,democrat,0,0
2010,California11,democrat,democrat,1,0.5527256599107575
2010,California12,democrat,democrat,1,0.7511326460635631
2010,California13,democrat,democrat,1,0.7643029925415529
2010,California14,democrat,democrat,1,0.6976712640138434
2010,California15,democrat,democrat,1,0.7166172790866302
2010,California16,democrat,democrat,1,0.7134034978351605
2010,California17,democrat,democrat,1,0.7387917384724397
2010,California18,democrat,democrat,1,1.0
2010,California19,republican,republican,0,0
2010,California2,republican,republican,1,0.5789499782175201
2010,California20,democrat,democrat,1,0.7433455062689287
2010,California21,republican,republican,1,0.6839263160403213
2010,California22,republican,republican,1,1.0
2010,California23,democrat,democrat,1,0.6807433237485504
2010,California24,republican,republican,1,0.5815391998720222
2010,California25,republican,republican,1,0.5772799284884811
2010,California26,republican,republican,1,0.5263916445176506
2010,California27,democrat,democrat,1,0.6850940869687786
2010,California28,democrat,democrat,1,0.9989100500650336
2010,California29,democrat,democrat,1,0.6891451089825779
2010,California3,republican,republican,1,0.4949083892168663
2010,California30,democrat,democrat,1,1.0
2010,California31,democrat,democrat,1,1.0
2010,California32,democrat,democrat,0,0
2010,California33,democrat,democrat,0,0
2010,California34,democrat,democrat,1,0.7709460041168046
2010,California35,democrat,democrat,1,0.8258233422244617
2010,California36,democrat,democrat,1,0.6864438243290178
2010,California37,democrat,democrat,1,0.7494465113094287
2010,California38,democrat,democrat,1,0.8172717230298009
2010,California39,democrat,democrat,0,0
2010,California4,republican,republican,1,0.5024338796040889
2010,California40,republican,republican,1,0.6254904076479855
2010,California41,republican,republican,1,0.6164901430228064
2010,California42,republican,republican,1,0.6015806283776343
